543,Aragarças
544,Aragoiânia
545,Aragominas
546,Araguacema
547,Araguaçu
548,Araguaia (Marechal Floriano)
549,Araguaiana
550,Araguaína
551,Araguainha
552,Araguanã
553,Araguanã
554,Araguapaz
555,Araguari
556,Araguatins
557,Araióses
558,Arajara (Barbalha)
559,Aral Moreira
560,Aramari
561,Arambaré
562,Arame
563,Aramina
564,Aramirim (Açucena)
565,Aranaú (Acaraú)
566,Arandu
567,Aranha (Brumadinho)
568,Aranha (Colombo)
569,Arantina
570,Arantina (Acreúna)
571,Arapari (Itapipoca)
572,Arapá (Tianguá)
573,Arapeí
574,Arapiraca
575,Arapiranga (Rio de Contas)
576,Arapixuna (Santarém)
577,Arapoema
578,Araponga
579,Arapongas
580,Araporã
581,Araporanga (Santana do Cariri)
582,Arapoti
583,Arapuã
584,Arapuá
585,Arapuan (Janiópolis)
586,Arapuã (Três Lagoas)
587,Araputanga
588,Araquaim (Curuçá)
589,Araquari
590,Araquém (Coreaú)
591,Arara
592,Araraí (Alegre)
593,Araranguá
594,Ararapira (Guaraqueçaba)
595,Araraquara
596,Araras
597,Araras (Caapiranga)
598,Ararendá
599,Arari
600,Araricá
601,Araripe
602,Araripina
603,Arariús (Cariré)
604,Araruama
605,Araruna
606,Araruna
607,Arataca
608,Aratama (Assaré)
609,Aratiba
610,Araticum (Ubajara)
611,Aratuba
612,Aratuípe
613,Arauá
614,Araucária
615,Araújos
616,Araúna (Guapé)
617,Araxá
618,Araxás (Presidente Bernardes)
620,Arceburgo
621,Arco-Íris
622,Arco-Íris (Erval Seco)
623,Arco-Íris (Paragominas)
624,Arcos
625,Arcoverde
626,Arco Verde (Carlos Barbosa)
627,Areado
628,Areado (São Gabriel do Oeste)
629,Areal
630,Arealva
631,Areia
632,Areia Branca
633,Areia Branca
635,Areia Branca dos Assis (Mandirituba)
636,Areia de Baraúnas
637,Areial
638,Areial (Santa Quitéria)
639,Areias
640,Areias (Bezerros)
641,Areias (Camaçari)
642,Areias (Castro)
643,Areias (Melgaço)
644,Areias (Uiraúna)
645,Areiópolis
646,Arembepe (Camaçari)
647,Arenápolis
648,Arenópolis
649,Areré (Barreira)
650,Arez
651,Argenita (Ibiá)
652,Argirita
653,Argoim (Rafael Jambeiro)
654,Argolo (Nova Viçosa)
655,Ariaú (Barreirinha)
656,Ariaú (Iranduba)
657,Aribice (Euclides da Cunha)
658,Aricanduva
659,Aricanduva (Arapongas)
660,Arinos
661,Aripibu (Ribeirão)
662,Aripuanã
663,Ariquemes
664,Ariranha
665,Ariranha do Ivaí
666,Ariri (Cananéia)
667,Ariri (Macapá)
668,Ariscos dos Marianos (Ocara)
669,Aristides Batista (Coração de Jesus)
670,Aritaguá (Ilhéus)
671,Arizona (Afrânio)
672,Arlindo (Venâncio Aires)
673,Armação dos Búzios
674,Armazém
675,Arneiroz
676,Arnópolis (Alfredo Wagner)
677,Aroazes
678,Aroeira (Cascavel)
679,Aroeiras
680,Aroeiras (Coreaú)
681,Aroeiras do Itaim
682,Aroeiras (Pantano Grande)
683,Arquimedes (Cascavel)
684,Arraial
685,Arraial D'Ajuda (Porto Seguro)
686,Arraial do Cabo
687,Arraias
688,Arroio Bonito (Mato Leitão)
689,Arroio Canoas (Barão)
690,Arroio do Meio
691,Arroio do Ouro (Vale Real)
692,Arroio do Padre
693,Arroio do Sal
694,Arroio dos Mengues (Dom Pedro de Alcântara)
695,Arroio do Só (Santa Maria)
696,Arroio dos Ratos
697,Arroio do Tigre
698,Arroio Grande
699,Arroio Grande (Santa Maria)
700,Arroio Grande (Selbach)
701,Arroio Teixeira (Capão da Canoa)
702,Arroio Trinta
703,Arrojado (Lavras da Mangabeira)
704,Arrozal (Piraí)
705,Arruda (Rosário Oeste)
706,Artur Nogueira
707,Aruanã
708,Aruaru (Morada Nova)
709,Arujá
710,Arumanduba (Almeirim)
711,Aruri (Itaituba)
712,Arvoredo
713,Árvore Só (Santa Vitória do Palmar)
714,Arvorezinha
715,Ascenção (Pará de Minas)
716,Ascurra
717,Aspásia
718,Assaí
719,Assaraí (Pocrane)
720,Assaré
721,Assari (Barra do Bugres)
722,Assis
723,Assis Brasil
724,Assis Chateaubriand
725,Assis (Crateús)
726,Assistência (Rio Claro)
727,Assunção
728,Assunção do Piauí
729,Assunção (Itapipoca)
730,Assunção (Solonópole)
731,Astolfo Dutra
732,Astorga
733,Atafona (Santo Ângelo)
734,Atalaia
735,Atalaia
736,Atalaia do Norte
737,Atalanta
738,Ataléia
739,Atapus (Goiana)
740,Aterrado Torto (Pouso Redondo)
741,Atiaçu (Sarandi)
742,Atibaia
743,Atílio Vivácqua
744,Atlântico (Santa Vitória do Palmar)
745,Atlântida (Flórida Paulista)
746,Aturiaí (Augusto Corrêa)
747,Augustinópolis
748,Augusto Corrêa
749,Augusto de Lima
750,Augusto Montenegro (Urucurituba)
751,Augusto Pestana
752,Áurea
753,Aurelino Leal
754,Auriflama
755,Aurilândia
756,Auriverde (Crixás)
757,Aurizona (Godofredo Viana)
758,Aurora
759,Aurora
760,Aurora do Iguaçu (São Miguel do Iguaçu)
761,Aurora do Pará
762,Aurora do Tocantins
763,Autazes
764,Avaí
765,Avaí do Jacinto (Jacinto)
766,Avanhandava
767,Avaré
768,Aveiro
769,Avelar (Paty do Alferes)
770,Avelino Lopes
771,Avelino Paranhos (Espumoso)
772,Avelinópolis
773,Axinim (Borba)
774,Axixá
775,Axixá do Tocantins
776,Azambuja (Pedras Grandes)
777,Azevedo Sodré (São Gabriel)
778,Azurita (Mateus Leme)
779,Babaçulândia
780,Babilônia (Delfinópolis)
781,Bacabal
782,Bacabeira
783,Bacaetava (Iperó)
784,Bação (Itabirito)
785,Bacatuba (Buriti Bravo)
786,Bacaxá (Saquarema)
787,Bacilândia (Fazenda Nova)
788,Bacupari (Palmares do Sul)
789,Bacuri
790,Bacuriti (Cafelândia)
791,Bacurituba
792,Badajós (Codajás)
793,Bady Bassitt
794,Baependi
795,Bagé
796,Bagre
797,Baguaçu (Olímpia)
798,Baguari (Governador Valadares)
799,Baia Alta (Ponte Serrada)
800,Baía da Traição
801,Baía Formosa
802,Baianópolis
803,Baianópolis (Corguinho)
804,Baião
805,Bailique (Macapá)
806,Baiões (Formiga)
807,Bairro Alto (Natividade da Serra)
808,Bairro Cachoeira (Guarapuava)
809,Bairro Limoeiro (Londrina)
810,Baixa da Onça (Arapiraca)
811,Baixa do Capim (Arapiraca)
812,Baixa do Palmeira (Sapeaçu)
813,Baixa Grande
814,Baixa Grande (Arapiraca)
815,Baixa Grande do Ribeiro
816,Baixa Grande (Itapajé)
817,Baixão (Jequié)
818,Baixa Quente (Minas Novas)
819,Baixa (Uberaba)
820,Baixinha (Ubaíra)
821,Baixio
822,Baixio da Donana (Jucás)
823,Baixio das Palmeiras (Crato)
824,Baixio (Deputado Irapuan Pinheiro)
825,Baixo Guandu
826,Balanços (Cachoeira dos Índios)
827,Balbina (Presidente Figueiredo)
828,Balbinópolis (Bertópolis)
829,Balbinos
830,Baldim
831,Baliza
832,Baliza (Gaurama)
833,Balneário Arroio do Silva
834,Balneário Barra do Sul
835,Balneário Camboriú
836,Balneário Gaivota
838,Balneário Piçarras
839,Balneário Pinhal
840,Balneário Rincão
841,Bálsamo
842,Bálsamo (Arapiraca)
843,Bálsamo (Ribas do Rio Pardo)
844,Balsa Nova
845,Balsas
846,Baltazar (Santo Antônio de Pádua)
847,Baluarte (Pilão Arcado)
848,Bambuí
849,Banabuiú
850,Bananal
851,Bananas (Nova Laranjeiras)
852,Bananeiras
853,Bananeiras (Arapiraca)
854,Bandeira
855,Bandeira do Almada (Itajuípe)
856,Bandeira do Colônia (Itapetinga)
857,Bandeira do Sul
858,Bandeira (Itatira)
859,Bandeirante
860,Bandeirantes
861,Bandeirantes
862,Bandeirantes d'Oeste (Quarto Centenário)
863,Bandeirantes D'Oeste (Sud Mennucci)
864,Bandeirantes do Tocantins
865,Bandeirantes (Mariana)
866,Bandeirantes (Nova Crixás)
867,Bandeirinha (Camaquã)
868,Bandiaçu (Conceição do Coité)
869,Banhado do Colégio (Camaquã)
870,Banhado (Guarapuava)
871,Bannach
872,Banquete (Bom Jardim)
873,Banzaê
874,Baracho (Sobral)
875,Barão
876,Barão Ataliba Nogueira (Itapira)
877,Barão de Antonina
878,Barão de Aquiraz (Campos Sales)
879,Barão de Cocais
880,Barão de Cotegipe
881,Barão de Grajaú
882,Barão de Juparana (Valença)
883,Barão de Lucena (Nova Esperança)
884,Barão de Melgaço
885,Barão de Monte Alto
886,Barão de Serra Branca (Santana do Matos)
887,Barão de Tromai (Cândido Mendes)
888,Barão do Triunfo
889,Baraúna
890,Baraúna
891,Baraúnas (Seabra)
892,Barbacena
893,Barbada (Choró)
894,Barbalha
895,Barbosa
896,Barbosa Ferraz
897,Barbosilândia (Posse)
898,Barcarena
899,Barcelona
900,Barcelos
901,Barcelos do Sul (Camamu)
902,Barcelos (São João da Barra)
903,Bariri
904,Barra
905,Barra (Aiuaba)
906,Barra Alegre (Bom Jardim)
907,Barra Alegre (Ipatinga)
908,Barra Avenida (Jequié)
909,Barra Bonita
910,Barra Bonita
911,Barra Bonita (Francisco Beltrão)
912,Barra Bonita (Mato Rico)
913,Barracão
914,Barracão
915,Barracas (Capela)
916,Barracas (Ponto Novo)
917,Barra Clara (Angelina)
918,Barra Curta Baixa (Constantina)
919,Barra da Estiva
920,Barra da Figueira (Pocrane)
921,Barra D'Alcântara
922,Barra da Prata (Vítor Meireles)
923,Barra de Farias (Brejo da Madre de Deus)
924,Barra de Guabiraba
925,Barra de Santana
926,Barra de Santa Rosa
927,Barra de Santo Antônio
928,Barra de São Francisco
929,Barra de São João (Casimiro de Abreu)
930,Barra de São Miguel
931,Barra de São Miguel
932,Barra de São Pedro (Ouricuri)
933,Barra do Ariranha (Mantena)
934,Barra do Bonifácio (Palmeira dos Índios)
935,Barra do Brejo (Bom Conselho)
936,Barra do Bugres
937,Barra do Camaratuba (Mataraca)
938,Barra do Chapéu
939,Barra do Choça
940,Barra do Corda
941,Barra do Cuieté (Conselheiro Pena)
942,Barra do Garças
943,Barra do Grota (Araguaína)
944,Barra do Guarita
945,Barra do Ingá (Acopiara)
946,Barra do Jacaré
947,Barra do Jacuípe (Camaçari)
948,Barra do Jardim (Agrestina)
949,Barra do Mendes
950,Barra do Ouro
